destinationA	destinationB	distance
Dubrovnik, Croatia	Glasgow, United Kingdom	2884670
Dubrovnik, Croatia	Edinburgh, United Kingdom	2840439
Dubrovnik, Croatia	Inverness, United Kingdom	3138371
Dubrovnik, Croatia	Stonehenge, Amesbury, United Kingdom	2336796
Dubrovnik, Croatia	London, United Kingdom	2213340
Dubrovnik, Croatia	Brussels, Belgium	1863502
Dubrovnik, Croatia	Paris, France	1907167
Dubrovnik, Croatia	Pamplona, Spain	2345815
Dubrovnik, Croatia	Lagos, Portugal	3315127
Dubrovnik, Croatia	Granada, Spain	2931652
Dubrovnik, Croatia	Barcelona, Spain	2057475
Dubrovnik, Croatia	Luberone, Bonnieux, France	1619925
Dubrovnik, Croatia	Nice, France	1391560
Dubrovnik, Croatia	Monte Carlo, Monaco	1377599
Dubrovnik, Croatia	Interlaken, Switzerland	1341191
Santorini, Thira, Greece	Innsbruck, Austria	2392291
Santorini, Thira, Greece	Munich, Germany	2353887
Santorini, Thira, Greece	Pag, Croatia	2105700
Santorini, Thira, Greece	Venice, Italy	2178904
Santorini, Thira, Greece	Tuscany, Italy	2422566
Santorini, Thira, Greece	Florence, Italy	2423640
Santorini, Thira, Greece	Rome, Italy	1600387
Santorini, Thira, Greece	Vatican City	1612411
Santorini, Thira, Greece	Pompeii, Italy	1379008
Santorini, Thira, Greece	Gozo, Malta	1862320
Santorini, Thira, Greece	Dubrovnik, Croatia	1280678
Santorini, Thira, Greece	Vienna, Austria	2025868
Santorini, Thira, Greece	Prague, Czech Republic	2307763
Santorini, Thira, Greece	Krakow, Poland	2185504
Santorini, Thira, Greece	Berlin, Germany	2657988
Santorini, Thira, Greece	Amsterdam, Netherlands	3180471
Santorini, Thira, Greece	Keukenhof, Stationsweg, Lisse, Netherlands	3206195
Santorini, Thira, Greece	Glasgow, United Kingdom	4180205
Santorini, Thira, Greece	Edinburgh, United Kingdom	4135974
Santorini, Thira, Greece	Inverness, United Kingdom	4433906
Santorini, Thira, Greece	Stonehenge, Amesbury, United Kingdom	3632331
Santorini, Thira, Greece	London, United Kingdom	3508875
Santorini, Thira, Greece	Brussels, Belgium	3135432
Santorini, Thira, Greece	Paris, France	3193490
Santorini, Thira, Greece	Pamplona, Spain	3690826
Santorini, Thira, Greece	Lagos, Portugal	4660137
Santorini, Thira, Greece	Granada, Spain	4276662
Santorini, Thira, Greece	Barcelona, Spain	3402485
Santorini, Thira, Greece	Luberone, Bonnieux, France	2964936
Santorini, Thira, Greece	Nice, France	2736571
Santorini, Thira, Greece	Monte Carlo, Monaco	2722609
Santorini, Thira, Greece	Interlaken, Switzerland	2686201
Vienna, Austria	Innsbruck, Austria	476504
Vienna, Austria	Munich, Germany	438100
Vienna, Austria	Pag, Croatia	658648
